,total,benign,malware,b-m
movjmp,6222050,421.171,289.7677,131.4033
jmp,7157282,472.3688,343.412,128.9568
leajmp,2507901,202.1099,89.8392,112.2707
cmpb__,481682,59.3549,0.1423,59.2126
ldrcmpb__,418472,51.6372,0.0643,51.5729
movcmpjnz,1773818,125.3328,78.2231,47.1097
bl_,370916,45.7605,0.0641,45.6964
b__,370904,45.6799,0.13,45.5499
movbl_,348571,42.9676,0.0903,42.8773
movb__,320557,39.4873,0.1057,39.3816
ldrcbz,309317,38.225,0,38.225
tesjz_,3132899,195.1556,159.9938,35.1618
subjmp,437329,43.3432,8.9173,34.4259
cbz,261369,32.2997,0,32.2997
movtesjz_,2483686,155.5477,126.145,29.4027
ldrb__,232977,28.772,0.0159,28.7561
movcmpb__,231547,28.594,0.0169,28.5771
ret,1067766,75.285,47.2207,28.0643
addbl_,213279,26.3041,0.0439,26.2602
ldrldrcmpb__,184015,22.7212,0.016,22.7052
cbn,150418,18.5885,0,18.5885
movaddjmp,566943,41.761,23.5828,18.1782
movret,949288,62.4902,45.6819,16.8083
movmovbl_,125838,15.4913,0.0496,15.4417
addb__,119159,14.7211,0.0037,14.7174
ldrtstb__,117707,14.5461,0,14.5461
ldrcbn,117410,14.5094,0,14.5094
ldaldfret,127157,14.9105,0.6694,14.2411
movtesjnz,841687,54.8812,40.942,13.9392
movmovtesjz_,648843,43.8595,30.2679,13.5916
movcmpjz_,1727523,104.02,91.2154,12.8046
movmovcaljmp,361307,26.7951,14.8781,11.917
movmovcmpjz_,587763,39.2888,27.7868,11.502
ldrbl_,91613,11.2882,0.0277,11.2605
movcbz,84490,10.4412,0,10.4412
ldrmovbl_,83806,10.3202,0.0304,10.2898
ldaldastfret,90905,10.7063,0.4397,10.2666
movaddbl_,80759,9.9448,0.0295,9.9153
movleamovxorcalmovjmp,313255,22.9214,13.1578,9.7636
movmovcaltesjz_,321683,23.2604,13.7432,9.5172
ldpret,72327,8.9381,0,8.9381
movmovret,201899,15.9689,7.4842,8.4847
subb__,67475,8.3377,0.0006,8.3371
movmovmovcaljmp,203818,15.9686,7.682,8.2866
ldrmovmovbl_,66889,8.2458,0.0169,8.2289
subldrbx_,65180,8.0549,0,8.0549
ldacalret,80623,8.8672,0.9134,7.9538
ldraddbl_,58071,7.1385,0.0315,7.107
puspusmovpusmovpuscalmovjmp,103969,9.7166,2.6096,7.107
addjmp,419878,27.3654,20.4342,6.9312
subjz_,974051,58.4429,51.6045,6.8384
pussubmovleacaladdpopret,92083,8.8815,2.0816,6.7999
cmpjb_,683183,42.0096,35.3456,6.664
subtesjz_,80968,8.1373,1.5571,6.5802
movmovjmp,1262058,74.4627,67.9133,6.5494
pussubmovmovandtesjz_,62831,7.0863,0.5652,6.5211
ldrldrcbz,52601,6.5004,0,6.5004
addmovbl_,52409,6.4509,0.0214,6.4295
movpuspuscaladdret,57872,6.6875,0.3869,6.3006
ldlret,94067,8.7135,2.4258,6.2877
strb__,48205,5.9546,0.0021,5.9525
ldcret,59706,6.5835,0.6623,5.9212
movmovmovcalnoptesjz_,48008,5.9199,0.0107,5.9092
movmovcmpjnz,522233,32.555,26.65,5.905
movmovmovbl_,47137,5.8005,0.0205,5.78
addcmpb__,46800,5.7773,0.0051,5.7722
movmovcalmovtesjz_,105365,9.0452,3.3128,5.7324
movmovmovjmp,464580,29.1364,23.5617,5.5747
movcbn,43982,5.4352,0,5.4352
movcaljmp,392239,24.9918,19.566,5.4258
pussubmovmovmovcaladdpopret,59301,6.242,0.9053,5.3367
poppoppopmovpopret,240522,16.409,11.0946,5.3144
caljmp,324219,21.0912,15.8119,5.2793
subtesjnz,55737,6.0094,0.7321,5.2773
ldrldrldrcmpb__,39580,4.8889,0.002,4.8869
movmovmovcalmovtesjz_,57154,5.8054,1.048,4.7574
xorjmp,1340082,77.8491,73.126,4.7231
tstb__,38094,4.7076,0,4.7076
movmovcaltesjnz,173616,12.2446,7.6751,4.5695
xortesjz_,159954,11.4208,6.9547,4.4661
movcalmovtesjz_,132854,9.8134,5.5034,4.31
movcmpjg_,185969,12.7839,8.4978,4.2861
movcalmovjmp,209482,14.0887,9.8317,4.257
movcaltesjnz,185258,12.699,8.4953,4.2037
addaddbl_,33905,4.1864,0.003,4.1834
movmovmovcaltesjz_,110976,8.4637,4.3752,4.0885
movmovaddpopret,83832,6.9162,2.8695,4.0467
movleacmpjz_,69382,6.0943,2.0664,4.0279
ldrldrmovbl_,32317,3.9921,0.0013,3.9908
movstrb__,32241,3.9807,0.003,3.9777
ldrmovcbz,31801,3.9299,0,3.9299
learet,156963,10.9543,7.0354,3.9189
movcalmovmovaddpopret,61695,5.6002,1.6865,3.9137
movpussubmovxorcalmovleaaddpop...,30619,3.7839,0,3.7839
subcaladdret,30403,3.7287,0.0237,3.705
caltesjz_,196137,13.0294,9.3402,3.6892
stpaddbl_,29411,3.6346,0,3.6346
movmovmovmovcmpjnz,122421,8.8475,5.234,3.6135
movaddmovjmp,83410,6.6063,3.0843,3.522
andleacaladdpopret,33619,3.8009,0.2947,3.5062
ldrmovcmpb__,28395,3.4999,0.0076,3.4923
pussubmovmovcaladdpopret,36752,3.9569,0.4874,3.4695
movldrcmpb__,27995,3.4524,0.006,3.4464
movmovcalnopmovtesjz_,30822,3.6041,0.1707,3.4334
addmovmovbl_,27888,3.4376,0.0073,3.4303
caltesjnz,143422,9.9165,6.5058,3.4107
movmovcaljnz,36673,3.9173,0.5122,3.4051
ldlldcbeq,31129,3.5844,0.2187,3.3657
movmovmovmovjmp,218785,14.0812,10.796,3.2852
movmovmovtesjz_,203718,13.2304,9.9535,3.2769
poppusaddbl_,26280,3.2477,0,3.2477
movmovmovmovcalmovcalcalnopmov...,26306,3.2485,0.002,3.2465
calmovtesjz_,123888,8.7289,5.4839,3.245
movdecmovjnz,30647,3.4862,0.251,3.2352
ldacalldcldeconldcbgt,25939,3.2055,0,3.2055
movcalret,147020,9.9721,6.83,3.1421
strcmpb__,25385,3.1351,0.0016,3.1335
movstrcbz,25297,3.1262,0,3.1262
ldraddcmpb__,24806,3.0634,0.0018,3.0616
ldraddmovbl_,24656,3.0441,0.0024,3.0417
movmovtesjnz,249987,15.6927,12.6663,3.0264
ldrldrcbn,23810,2.9424,0,2.9424
puspuscaladdtesjz_,61179,5.0266,2.1114,2.9152
movsubleacmpja_,23337,2.8788,0.0043,2.8745
pussubmovleacalleapopret,22903,2.8276,0.0023,2.8253
puscalpopjmp,113766,7.9214,5.1144,2.807
movcaltesjz_,391939,23.5229,20.7591,2.7638
ldrmovb__,22351,2.759,0.0026,2.7564
movmovmovcalnopmovtesjz_,21900,2.6976,0.0073,2.6903
movstrcmpb__,21268,2.6269,0.0011,2.6258
ldraddb__,21243,2.6249,0.0002,2.6247
leasubcaladdret,20990,2.5891,0.004,2.5851
movpussubmovmovcaltesjz_,41922,3.7413,1.1994,2.5419
movldrcbz,20150,2.4901,0,2.4901
ldaldfbr.,20380,2.502,0.0138,2.4882
andmovcaladdpopret,24447,2.7271,0.245,2.4821
movmovinccmpjnz,35586,3.3476,0.875,2.4726
calcmpjz_,101190,7.0269,4.5647,2.4622
movmovmovmovcaljmp,75522,5.5728,3.1333,2.4395
movmovmovaddpopret,79624,5.7902,3.3745,2.4157
xormovjmp,118583,7.9444,5.5913,2.3531
ldrldrbl_,19290,2.3669,0.0141,2.3528
movpuscalpopret,111330,7.532,5.188,2.344
movsubcmpjz_,41450,3.6012,1.2675,2.3337
movlocaddjnz,18861,2.3308,0,2.3308
ldsret,22879,2.5564,0.2258,2.3306
puspuscaladdjmp,28891,2.8736,0.5806,2.293
xorcmpjz_,127988,8.432,6.1534,2.2786
movmovmovcalmovjmp,47645,3.9144,1.6445,2.2699
movpoppoppopmovpopret,115575,7.721,5.4677,2.2533
xormovtesjz_,69562,5.1095,2.9056,2.2039
poppoppoppoppopret,91629,6.3365,4.1555,2.181
leacalmovmovcaltesjz_,18585,2.2133,0.0695,2.1438
leaaddjmp,26440,2.6482,0.516,2.1322
movcalmovmovtesjz_,38947,3.3468,1.2218,2.125
addjnz,24885,2.5555,0.4331,2.1224
ldrldrb__,17067,2.1086,0.0004,2.1082
movmovmovcmpjnz,210977,12.9896,10.9016,2.088
ldrldrmovmovbl_,16772,2.0719,0.0006,2.0713
strmovb__,16697,2.0615,0.0015,2.06
calmovcmpjz_,100125,6.7475,4.6879,2.0596
movaddpopret,74098,5.2789,3.2315,2.0474
movmovmovcmpjz_,189629,11.7603,9.7276,2.0327
movaddret,79763,5.5874,3.5578,2.0296
movmovcalnoptesjz_,16605,2.036,0.0134,2.0226
submovtesjz_,43838,3.5655,1.5432,2.0223
movmovmovmovtesjz_,84982,5.8743,3.8561,2.0182
movmovmovmovmovcaljmp,32630,2.9297,0.9189,2.0108
calnopmovtesjz_,17290,2.0627,0.0617,2.001
movmovmovret,77466,5.4425,3.442,2.0005
movcmpjle,145160,9.2427,7.2462,1.9965
movmovaddbl_,16220,1.997,0.0062,1.9908
strcbz,16038,1.982,0,1.982
subcmpjz_,40084,3.3295,1.3533,1.9762
movtesjs_,56694,4.2521,2.2949,1.9572
incdecjnz,96206,6.4532,4.5296,1.9236
adraddb__,15322,1.8935,0,1.8935
movxadcmpjnz,15707,1.9114,0.0247,1.8867
puspussubmovmovmovmovmovcmpjz_,15210,1.8789,0.0006,1.8783
movmovcalmovmovaddpopret,28995,2.6521,0.7758,1.8763
movmovcalmovmovtesjz_,24311,2.3885,0.5131,1.8754
leapussubmovleacalleapopret,15132,1.8681,0.0015,1.8666
leacmpjb_,136041,8.6567,6.7955,1.8612
movcmpjb_,304326,18.1078,16.2494,1.8584
ldaldacalret,21140,2.1912,0.351,1.8402
xorret,338978,20.0308,18.2153,1.8155
ldrstrcbz,14484,1.7899,0,1.7899
incmovcmpmovja_,14116,1.7435,0.0008,1.7427
lw_b__,14081,1.739,0.0009,1.7381
nopb__,14051,1.7353,0.0009,1.7344
ubfcbz,14011,1.7315,0,1.7315
subcmpb__,13991,1.7243,0.0039,1.7204
ldrtbzldrcmpb__,13899,1.7176,0,1.7176
movmovcalret,60279,4.3214,2.6063,1.7151
movmovmovcalmovmovtesjz_,16239,1.8426,0.1369,1.7057
movandjz_,98472,6.4591,4.758,1.7011
movleamovcaljmp,22596,2.1896,0.5023,1.6873
or_inccmpjnz,21184,2.1083,0.4247,1.6836
adraddldrldrcmpb__,13529,1.6719,0,1.6719
calmovmovmovcaltescmomovcalcmp...,13479,1.6657,0,1.6657
ldrstrb__,13491,1.6662,0.0008,1.6654
movleamovjmp,35876,2.9131,1.2669,1.6462
movcalcmpjnz,83528,5.588,3.945,1.643
movleacaljmp,28026,2.4619,0.8345,1.6274
or_loccmpjnz,13058,1.6137,0,1.6137
calldsldscalret,13361,1.6279,0.0194,1.6085
movsubjnz,22610,2.1432,0.5424,1.6008
li_beq,12962,1.595,0.0057,1.5893
ldrmovaddbl_,12991,1.5958,0.008,1.5878
movmovmovcalmovlocaddjnz,12632,1.561,0,1.561
movtesjle,88844,5.8256,4.2944,1.5312
popmovpopret,87035,5.7177,4.198,1.5197
ldrldrtstb__,12230,1.5114,0,1.5114
addsubsbfaddaddbl_,12132,1.4993,0,1.4993
movstrbl_,12167,1.5,0.003,1.497
addsubjb_,42613,3.2077,1.7152,1.4925
calmovmovtesjz_,38453,2.9703,1.4846,1.4857
movmovmovmovcaltesjz_,37628,2.9213,1.4405,1.4808
movleatesjz_,30362,2.5101,1.0349,1.4752
movandcmpjnz,89979,5.8544,4.3873,1.4671
poppopmovpopret,104297,6.6543,5.1951,1.4592
cmnb__,11801,1.4584,0,1.4584
ldaldfcalret,13601,1.5589,0.1015,1.4574
leacalret,32887,2.6405,1.1863,1.4542
movsubtesjz_,19890,1.9092,0.4573,1.4519
addldrcmpb__,11768,1.4519,0.002,1.4499
movcaladdpoppopret,13694,1.558,0.1119,1.4461
movtesmovjz_,44931,3.3119,1.8671,1.4448
leamovcaltesjz_,85520,5.5911,4.1476,1.4435
movmovmovmovbl_,11777,1.4486,0.0057,1.4429
movpoppopret,148386,9.1204,7.6804,1.44
movcalmovmovmovcmpjb_,12628,1.4946,0.055,1.4396
movmovb__,11804,1.4477,0.0092,1.4385
movpussubmovleaaddpopret,12313,1.468,0.0447,1.4233
calmovtesjle,12187,1.438,0.0567,1.3813
strldrcbz,11067,1.3676,0,1.3676
xorpoppoppopmovpusleacalret,45053,3.2699,1.9146,1.3553
movleacmpjb_,22505,1.9995,0.6513,1.3482
movaddmovbl_,10969,1.3513,0.0035,1.3478
tesjl_,53176,3.7191,2.3768,1.3423
movmovcalnopjmp,19553,1.8264,0.4916,1.3348
ldrldrldrcbz,10789,1.3333,0,1.3333
li_b__,10752,1.3271,0.0013,1.3258
addaddtesjnz,50260,3.5435,2.2228,1.3207
ldrldrldrmovblxmovblxldrcbz,10654,1.3166,0,1.3166
dmbcbn,10644,1.3154,0,1.3154
andleajmp,33131,2.5772,1.2641,1.3131
ldcbr_,48086,3.4146,2.1064,1.3082
leacmpjbe,56020,3.8565,2.5551,1.3014
movldrbl_,10543,1.2902,0.0106,1.2796
subcmpjb_,21266,1.8916,0.6136,1.278
addldxaddstxcbn,10341,1.2779,0,1.2779
leamovcalmovtesjz_,24726,2.084,0.8096,1.2744
addmovsubaddcmpjbe,10282,1.2706,0,1.2706
poppoppoppoppoppopret,42218,3.0638,1.7945,1.2693
movmovstrbl_,10298,1.2706,0.0016,1.269
adrldrtbzadraddb__,10267,1.2688,0,1.2688
nopaddbl_,10263,1.2683,0,1.2683
ldrmovmovmovbl_,10327,1.2687,0.0063,1.2624
submovjz_,12736,1.4021,0.1431,1.259
or_xadcmpjnz,14166,1.4805,0.2251,1.2554
nopldrcbz,10107,1.249,0,1.249
movmovmovcalmovmovmovaddpopret,12432,1.3784,0.1316,1.2468
movmovmovcaltesjnz,83177,5.3507,4.1066,1.2441
movinccmpjnz,38118,2.8187,1.5765,1.2422
addldraddstrcmpb__,10015,1.2376,0,1.2376
addaddmovbl_,10021,1.236,0.002,1.234
movpuspuscalmovtesjz_,14274,1.4715,0.2437,1.2278
ldrldrmovstrbl_,9924,1.2264,0,1.2264
movcmpjbe,138010,8.4208,7.1948,1.226
movpusmovcalmovmovpoppopmovpop...,12009,1.3414,0.1188,1.2226
calmovaddpopret,20514,1.8182,0.5974,1.2208
dmbcmpb__,9858,1.2182,0,1.2182
movcalpoppopret,109615,6.8186,5.6059,1.2127
submovmovtesjz_,22877,1.9449,0.7351,1.2098
leacalcmpjnz,22901,1.9457,0.7369,1.2088
leamovmovcaljmp,31854,2.4476,1.2407,1.2069
pussubmovmovcalleapopret,9604,1.1865,0.0003,1.1862
movcalmovaddpopret,26191,2.1179,0.9322,1.1857
movcmpjnbmovsubjmp,19525,1.741,0.5599,1.1811
movmovcalpoppopret,78622,5.0565,3.8827,1.1738
ldsldsldcldcldsnewret,9334,1.1535,0,1.1535
calmovcmpjb_,17677,1.6185,0.4716,1.1469
movandtesjz_,34919,2.5868,1.4403,1.1465
nopldaldfstlbr.,10897,1.2311,0.0963,1.1348
movcmpjnbsubsubcmpja_,9122,1.1236,0.0031,1.1205
stpadraddaddbl_,9009,1.1133,0,1.1133
movstrldrldrldrmovblxmovblxldr...,9008,1.1132,0,1.1132
movleamovmovmovmovcalcmpjb_,8973,1.1086,0.0002,1.1084
undbl_,8963,1.1076,0,1.1076
movmovmovmovcalmovjmp,18336,1.6335,0.527,1.1065
poppoppoppopret,168118,10.0468,8.9403,1.1065
incaddjmp,24277,1.9671,0.8608,1.1063
ldrmovstrcbz,8864,1.0954,0,1.0954
ldnret,11280,1.2264,0.1396,1.0868
cmpit_movb__,8720,1.0776,0,1.0776
